"District","School","GrowthStatus","PctPassingEOGTests","PctFreeReduced","HasStringsProgram","SchoolScore","Grade"
"Durham Public Schools","Fayetteville Street Elementary","Met",26.10,,0,38,"F"
"Richmond County Schools","Rohanen Middle","NotMet",35.30,83.00,0,42,"D"
"Iredell-Statesville Schools","North Iredell High","NotMet",47.10,39.80,0,59,"C"
"Durham Public Schools","Forest View Elementary","Met",57.60,61.00,0,63,"C"
"Durham Public Schools","George L Carrington Middle","Met",43.80,62.30,0,52,"D"
"Hertford County Schools","Ahoskie Elementary","NotMet",33.30,82.00,0,39,"F"
"Gaston County Schools","Carr Elementary","Met",43.50,79.10,0,51,"D"
"Durham Public Schools","George Watts Elementary","Met",61.70,47.80,0,65,"C"
"Durham Public Schools","Glenn Elementary","NotMet",33.10,91.10,0,40,"D"
"Durham Public Schools","Hillandale Elementary","Exceeded",54.70,58.10,0,61,"C"
"Durham Public Schools","Hillside High","Exceeded",35.40,66.00,0,61,"C"
"Durham Public Schools","Hillside New Tech High","NotMet",35.80,56.20,0,53,"D"
"Durham Public Schools","Hope Valley Elementary","Exceeded",53.50,64.10,0,62,"C"
"Durham Public Schools","James E Shepard Middle","NotMet",32.20,73.70,0,37,"F"
"Durham Public Schools","Lakewood Elementary","Met",33.20,94.20,0,43,"D"
"Durham Public Schools","Lakewood Montessori Middle","NotMet",52.40,47.70,0,55,"C"
"Durham Public Schools","Little River Elementary","Met",67.00,41.00,0,68,"C"
"Durham Public Schools","Lowe's Grove Middle","NotMet",26.20,79.00,0,32,"F"
"Durham Public Schools","Mangum Elementary","Exceeded",74.70,26.30,0,78,"B"
"Durham Public Schools","Merrick-Moore Elementary","Met",28.20,86.90,0,37,"F"
"Durham Public Schools","Middle College HS @ DTCC","N/A",0.00,15.30,0,92,"A"
"Durham Public Schools","Morehead Montessori","Met",56.00,39.30,0,61,"C"
"Durham Public Schools","Neal Middle","NotMet",27.00,83.80,0,33,"F"
"Rowan-Salisbury Schools","Enochville Elementary","Met",50.20,60.50,0,56,"C"
"Durham Public Schools","Northern High","Exceeded",38.00,60.00,0,60,"C"
"Durham Public Schools","Oak Grove Elementary","Met",51.20,77.20,0,58,"C"
"Durham Public Schools","Parkwood Elementary","Met",39.60,71.90,0,48,"D"
"Durham Public Schools","Pearsontown Elementary","Met",75.30,31.80,0,76,"B"
"Durham Public Schools","R N Harris Elementary","Exceeded",52.30,83.20,0,60,"C"
"Durham Public Schools","Riverside High","Met",47.80,52.40,0,67,"C"
"Durham Public Schools","Rogers-Herr Middle","Exceeded",60.60,45.20,0,66,"C"
"Johnston County Schools","Meadow School","Met",52.30,53.20,0,58,"C"
"Durham Public Schools","Sandy Ridge Elementary","NotMet",44.60,59.00,0,49,"D"
"Durham Public Schools","Southern School of Energy and Sustainabi","NotMet",26.90,74.00,0,50,"D"
"Durham Public Schools","Southwest Elementary","NotMet",45.60,65.10,0,49,"D"
"Durham Public Schools","Spring Valley Elementary","Met",47.20,63.80,0,53,"D"
"Durham Public Schools","The School for Creative Studies","Exceeded",46.20,53.10,0,55,"C"
"Durham Public Schools","W G Pearson Elementary","Exceeded",26.10,87.90,0,38,"F"
"Durham Public Schools","WG Pearson Magnet Middle","Exceeded",39.70,81.00,0,51,"D"
"Durham Public Schools","Y E Smith Elementary","Exceeded",28.50,,0,41,"D"
"Edenton-Chowan Schools","D F Walker Elementary","NotMet",51.50,65.90,0,54,"D"
"Rowan-Salisbury Schools","Morgan Elementary","Met",52.70,56.60,0,57,"C"
"Onslow County Schools","Jacksonville Commons Elem","Met",49.60,54.30,0,55,"C"
"Edgecombe County Public School","C B Martin Middle","NotMet",21.20,88.10,0,27,"F"
"Edgecombe County Public School","Coker-Wimberly Elementary","Met",24.40,,0,35,"F"
"Edgecombe County Public School","Edgecombe Early College High","Met",80.00,38.50,0,83,"B"
"Lexington City Schools","Pickett Elementary School","Exceeded",60.20,91.80,0,66,"C"
"Edgecombe County Public School","G W Bulluck Elementary","Met",48.20,79.40,0,55,"C"
"Edgecombe County Public School","G W Carver Elementary","Met",37.50,79.10,0,46,"D"
"Person County Schools","Northern Middle","Met",45.80,70.90,0,53,"D"
"Edgecombe County Public School","North Edgecombe High","Met",25.30,84.20,0,48,"D"
"Stanly County Schools","Aquadale Elementary","Met",68.60,56.40,0,71,"B"
"Edgecombe County Public School","Phillips Middle","Met",22.50,92.40,0,34,"F"
"Rowan-Salisbury Schools","Rockwell Elementary","Exceeded",59.20,54.00,0,65,"C"
"Edgecombe County Public School","SouthWest Edgecombe High","Exceeded",42.50,68.50,0,61,"C"
"Edgecombe County Public School","Stocks Elementary","Met",42.00,91.60,0,49,"D"
"Guilford County Schools","Oak Hill Elementary","NotMet",49.60,,0,53,"D"
"Edgecombe County Public School","W A Pattillo School","NotMet",20.30,92.70,0,30,"F"
"Edgecombe County Public School","West Edgecombe Middle","NotMet",29.70,80.20,0,36,"F"
"Guilford County Schools","Parkview Village Elementary","Exceeded",33.70,,0,45,"D"
"Elkin City Schools","Elkin High","Exceeded",77.20,36.40,0,84,"B"
"Elkin City Schools","Elkin Middle","Met",66.10,48.10,0,69,"C"
"Forsyth County Schools","Ashley Elementary","Met",30.00,88.40,0,40,"D"
"Rutherford County Schools","Spindale Elementary School","Met",51.60,86.80,0,56,"C"
"Forsyth County Schools","Atkins Academic & Tech High","Exceeded",72.30,42.50,0,81,"B"
"Forsyth County Schools","Bolton Elementary","Exceeded",45.50,88.40,0,55,"C"
"Forsyth County Schools","Brunson Elementary","Exceeded",73.10,52.80,0,76,"B"
"Pender County Schools","Cape Fear Middle","Met",45.30,68.90,0,53,"D"
"Forsyth County Schools","Caleb's Creek Elementary","Met",66.90,35.20,0,70,"B"
"Forsyth County Schools","Carver High","Met",19.50,88.90,0,48,"D"
"Forsyth County Schools","Cash Elementary","Exceeded",74.80,35.50,0,78,"B"
"Forsyth County Schools","Diggs-Latham Elementary","Met",39.00,,0,47,"D"
"Forsyth County Schools","Early College of Forsyth Co","Met",93.90,,0,94,"A"
"Rowan-Salisbury Schools","China Grove Middle","Met",52.20,49.00,0,59,"C"
"Forsyth County Schools","East Forsyth High","NotMet",54.90,35.80,0,70,"B"
"Henderson County Schools","Flat Rock Middle","Exceeded",64.00,65.10,0,70,"B"
"Forsyth County Schools","East Forsyth Middle School","NotMet",38.10,71.90,0,42,"D"
"Forsyth County Schools","Easton Elementary School","Met",23.60,,0,34,"F"
"Forsyth County Schools","Flat Rock Middle","NotMet",34.30,80.50,0,41,"D"
"Forsyth County Schools","Forest Park Elementary","Met",37.80,,0,47,"D"
"Forsyth County Schools","Frank Morgan Elementary","Met",70.70,34.90,0,72,"B"
"Yadkin County Schools","Starmount High","Met",45.10,47.10,0,64,"C"
"Forsyth County Schools","Gibson Elementary","NotMet",29.80,92.20,0,35,"F"
"Forsyth County Schools","Griffith Elementary","Met",37.40,91.20,0,44,"D"
"Forsyth County Schools","Hanes Middle School","Met",71.80,38.40,0,74,"B"
"Gaston County Schools","Holbrook Middle","NotMet",50.40,68.10,0,54,"D"
"Forsyth County Schools","Ibraham Elementary","Exceeded",40.50,93.20,0,50,"D"
"Forsyth County Schools","J F Kennedy High","Met",21.20,89.40,0,36,"F"
"Wake County Schools","Alston Ridge Elementary","NotMet",85.80,7.60,0,82,"B"
"Forsyth County Schools","Jefferson Elementary","Exceeded",80.80,29.10,0,83,"B"
"Forsyth County Schools","Kernersville Middle","NotMet",57.60,39.40,0,58,"C"
"Orange County Schools","Cedar Ridge High","NotMet",58.50,30.70,0,70,"B"
"Forsyth County Schools","Kimberley Park Elementary","Exceeded",28.50,,0,40,"D"
"Forsyth County Schools","Kimmel Farm Elementary","NotMet",43.00,59.40,0,46,"D"
"Wake County Schools","Brassfield Elementary","Met",81.80,14.70,0,82,"B"
"Gates County Schools","T S Cooper Elementary","Met",60.70,60.50,0,64,"C"
"Forsyth County Schools","Konnoak Elementary","NotMet",33.00,93.70,0,37,"F"
"Forsyth County Schools","Lewisville Elementary","Met",87.50,23.10,0,85,"A"
"Iredell-Statesville Schools","East Iredell Elementary","Met",36.60,73.70,0,46,"D"
"Forsyth County Schools","Meadowlark Elementary","Exceeded",77.00,22.60,0,80,"B"
"Pitt County Schools","Grifton","Met",29.30,76.90,0,38,"F"
"Forsyth County Schools","Middle College of Forsyth Cnty","N/A",0.00,,0,92,"A"
"Forsyth County Schools","Middle Fork Elementary","Met",46.10,87.20,0,53,"D"
"Forsyth County Schools","Mineral Springs Elementary","Exceeded",49.90,,0,59,"C"
"Union County Public Schools","Sandy Ridge Elementary","Exceeded",83.70,,0,85,"A"
"Forsyth County Schools","Mineral Springs Middle","NotMet",26.40,93.00,0,32,"F"
"Harnett County Schools","Johnsonville Elementary","NotMet",33.50,74.60,0,38,"F"
"Forsyth County Schools","Moore Magnet Elementary","NotMet",54.40,59.30,0,55,"C"
"Wake County Schools","Rand Road Elementary","Met",66.80,31.60,0,68,"C"
"Guilford County Schools","The Academy at Central","Exceeded",53.00,78.40,0,72,"B"
"Forsyth County Schools","Mount Tabor High School","Met",56.80,39.00,0,72,"B"
"Forsyth County Schools","North Forsyth High","NotMet",35.90,70.40,0,56,"C"
"Forsyth County Schools","North Hills Elementary","Met",32.60,,0,41,"D"
"Pitt County Schools","Wintergreen Intermediate","Met",71.10,38.80,0,72,"B"
"Guilford County Schools","Peeler Open Elementary","Met",28.80,71.70,0,38,"F"
"Forsyth County Schools","Old Richmond Elementary","Met",65.10,47.70,0,68,"C"
"Forsyth County Schools","Old Town Elementary","NotMet",38.90,,0,43,"D"
"Forsyth County Schools","Paisley IB Magnet School","Met",57.60,57.10,0,62,"C"
"Forsyth County Schools","Parkland High","Met",32.20,76.10,0,59,"C"
"Forsyth County Schools","Petree Elementary","Met",23.40,,0,35,"F"
"Forsyth County Schools","Philo-Hill Magnet Academy","NotMet",17.80,,0,24,"F"
"Forsyth County Schools","R J Reynolds High","NotMet",48.70,46.90,0,61,"C"
"Moore County Schools","Robbins Elementary","Met",39.30,89.00,0,48,"D"
"Forsyth County Schools","Robert B Glenn High School","NotMet",38.00,52.30,0,54,"D"
"Union County Public Schools","Union Elementary","Met",59.90,61.30,0,65,"C"
"Randolph County Schools","Providence Grove High","Exceeded",56.00,40.40,0,74,"B"
"Forsyth County Schools","Ronald W Reagan High School","NotMet",72.70,16.40,0,79,"B"
"Forsyth County Schools","Rural Hall Elementary","Exceeded",55.60,50.70,0,63,"C"
"Forsyth County Schools","Sherwood Forest Elementary","Exceeded",84.20,17.90,0,85,"A"
"Forsyth County Schools","Smith Farm Elementary","Met",65.30,66.20,0,69,"C"
"Forsyth County Schools","Southeast Middle","Met",56.90,45.40,0,62,"C"
"Forsyth County Schools","Speas Elementary","Met",40.10,88.80,0,48,"D"
"Robeson County Schools","Fairmont Middle","Exceeded",33.80,94.00,0,46,"D"
"Forsyth County Schools","The Downtown School","Exceeded",83.60,13.00,0,85,"A"
"Forsyth County Schools","Thomas Jefferson Middle","NotMet",75.30,31.80,0,72,"B"
"Forsyth County Schools","Union Cross Traditional Acad","Met",50.30,50.50,0,56,"C"
"Hoke County Schools","Hawk Eye Elementary","Met",34.30,94.30,0,43,"D"
"Forsyth County Schools","Vienna Elementary","Met",85.40,20.20,0,85,"A"
"Forsyth County Schools","Walkertown Elementary","NotMet",54.30,65.30,0,55,"C"
"Guilford County Schools","Hampton Elem Univ Partnership","Met",33.70,,0,43,"D"
"Forsyth County Schools","Walkertown High","NotMet",38.60,52.60,0,52,"D"
"Forsyth County Schools","Walkertown Middle","NotMet",40.00,64.60,0,45,"D"
"Martin County Schools","Rodgers Elementary","Met",48.90,59.40,0,55,"C"
"Lincoln County Schools","Childers Elementary","Exceeded",74.70,62.00,0,78,"B"
"Forsyth County Schools","West Forsyth High","Exceeded",69.70,25.70,0,81,"B"
"Forsyth County Schools","Whitaker Elementary","Exceeded",90.30,15.70,0,91,"A"
"Forsyth County Schools","Wiley Middle","Met",39.70,74.80,0,46,"D"
"Granville County Schools","Northern Granville Middle","NotMet",35.50,62.30,0,41,"D"
"Forsyth County Schools","Winston-Salem Preparatory Acad","Met",22.40,88.40,0,39,"F"
"Franklin County Schools","Bunn Elementary","Met",51.30,65.90,0,57,"C"
"Franklin County Schools","Bunn High","Exceeded",51.50,54.00,0,69,"C"
"Franklin County Schools","Bunn Middle","Met",47.60,64.20,0,52,"D"
"Gaston County Schools","Bessemer City High","Exceeded",42.70,68.80,0,62,"C"
"Franklin County Schools","Cedar Creek Middle","Met",52.80,46.40,0,59,"C"
"Franklin County Schools","Edward Best Elementary","Exceeded",69.00,70.50,0,73,"B"
"Franklin County Schools","Franklin County Early College","Met",58.30,39.30,0,68,"C"
"Montgomery County Schools","East Middle","Met",41.00,86.60,0,49,"D"
"Franklin County Schools","Franklinton High","NotMet",46.40,46.10,0,61,"C"
"Franklin County Schools","Franklinton Middle","Exceeded",42.70,73.90,0,51,"D"
"Franklin County Schools","Long Mill Elementary","Met",57.80,50.60,0,63,"C"
"Franklin County Schools","Louisburg Elementary","Exceeded",42.10,80.90,0,52,"D"
"Franklin County Schools","Royal Elementary","Met",49.40,66.20,0,54,"D"
"Franklin County Schools","Youngsville Elementary","Exceeded",71.50,45.30,0,75,"B"
"Gaston County Schools","Ashbrook High","Exceeded",48.80,59.00,0,68,"C"
"Johnston County Schools","East Clayton Elementary","Exceeded",68.50,24.70,0,73,"B"
"Gaston County Schools","Belmont Central Elementary","Exceeded",74.30,28.90,0,78,"B"
"Gaston County Schools","Belmont Middle","Exceeded",66.80,39.20,0,71,"B"
"Gaston County Schools","Brookside Elementary","NotMet",49.40,73.00,0,52,"D"
"Gaston County Schools","Chapel Grove Elementary","Met",48.90,74.70,0,54,"D"
"Onslow County Schools","Southwest Elementary","Exceeded",67.90,51.00,0,73,"B"
"Gaston County Schools","Cherryville Elementary","Met",61.50,65.20,0,65,"C"
"Gaston County Schools","Cherryville High","Exceeded",51.40,49.60,0,72,"B"
"Gaston County Schools","Costner Elementary","NotMet",59.90,52.00,0,61,"C"
"Gaston County Schools","Cramerton Middle","Met",66.80,28.00,0,68,"C"
"Johnston County Schools","Cleveland Elementary","Exceeded",78.20,31.30,0,80,"B"
"Gaston County Schools","Edward D Sadler Jr Elementary School","Met",28.00,95.00,0,37,"F"
"Gaston County Schools","Forestview High","Met",56.50,41.40,0,72,"B"
"Gaston County Schools","Gardner Park Elementary","Exceeded",53.90,73.60,0,61,"C"
"Gaston County Schools","Gaston Early College High School","Exceeded",79.80,52.90,0,81,"B"
"Gaston County Schools","Hawks Nest Intermediate","Met",63.40,38.40,0,66,"C"
"Gaston County Schools","Highland Sch of Technology","Exceeded",92.00,30.20,0,94,"A"
"Gaston County Schools","Hunter Huss High","NotMet",30.50,72.80,0,50,"D"
"Gaston County Schools","Ida Rankin Elementary School","Met",55.40,55.70,0,60,"C"
"Gaston County Schools","John Chavis Middle School","Met",53.50,59.70,0,58,"C"
"Rowan-Salisbury Schools","Knox Middle","Met",32.40,83.80,0,42,"D"
"Gaston County Schools","Kiser Elementary","Exceeded",50.30,57.40,0,58,"C"
"Johnston County Schools","Johnston Co Early College Academy","Exceeded",84.30,36.50,0,91,"A"
"Gaston County Schools","Lingerfeldt Elementary","Met",27.10,94.40,0,36,"F"
"Gaston County Schools","Lowell Elementary","Met",49.60,58.70,0,55,"C"
"Gaston County Schools","Mount Holly Middle","Met",57.80,47.90,0,63,"C"
"Gaston County Schools","New Hope Elementary","Met",79.60,28.90,0,79,"B"
"Gaston County Schools","North Belmont Elementary","Met",41.30,70.40,0,49,"D"
"Wake County Schools","Sanderson High","Exceeded",60.30,29.40,1,76,"B"
"Pitt County Schools","Pactolus","Met",33.70,89.80,0,43,"D"
"Gaston County Schools","North Gaston High","Exceeded",50.60,55.40,0,70,"B"
"Gaston County Schools","Pinewood Elementary","Exceeded",57.10,50.60,0,63,"C"
"Guilford County Schools","Ferndale Middle","NotMet",34.30,81.70,0,38,"F"
"Guilford County Schools","Bessemer Elementary","Met",27.10,,0,37,"F"
"Gaston County Schools","Pleasant Ridge Elementary","Exceeded",32.80,,0,44,"D"
"Gaston County Schools","Rhyne Elementary","Met",20.10,,0,32,"F"
"Rowan-Salisbury Schools","Carson High","Met",56.10,45.90,0,71,"B"
"Gaston County Schools","Sherwood Elementary","NotMet",40.70,72.30,0,46,"D"
"Gaston County Schools","Southwest Middle","NotMet",37.80,77.50,0,42,"D"
"Gaston County Schools","Stanley Middle","Met",51.30,57.80,0,56,"C"
"Rockingham County Schools","John M Morehead High","NotMet",37.30,56.90,0,53,"D"
"Gaston County Schools","Stuart W Cramer High","Met",58.90,41.00,0,61,"C"
"Gaston County Schools","Tryon Elementary","Met",44.40,81.40,0,52,"D"
"Rockingham County Schools","John W Dillard Elementary","NotMet",40.10,79.50,0,44,"D"
"Gaston County Schools","W A Bess Elementary School","Exceeded",73.00,34.30,0,78,"B"
"Gaston County Schools","W B Beam Intermediate School","Met",56.40,53.30,0,59,"C"
"Person County Schools","North End Elementary","Met",53.60,71.60,0,59,"C"
"Gaston County Schools","W C Friday Middle School","NotMet",44.60,63.50,0,48,"D"
"Gaston County Schools","W P Grier Middle School","Met",36.70,79.00,0,44,"D"
"Guilford County Schools","Millis Road Elementary","Met",68.00,43.30,0,71,"B"
"Gaston County Schools","Woodhill Elementary","Met",43.50,91.00,0,51,"D"
"Gates County Schools","Buckland Elementary","Exceeded",72.20,51.80,0,75,"B"
"Gates County Schools","Central Middle","Met",51.60,54.80,0,58,"C"
"Wilson County Schools","Elm City Middle","Met",59.00,48.10,0,64,"C"
"Person County Schools","Woodland Elementary","Exceeded",74.80,50.80,0,78,"B"
"Gates County Schools","Gates County Senior High","Exceeded",54.20,43.90,0,71,"B"
"Gates County Schools","Gatesville Elementary","Met",60.40,58.00,0,65,"C"
"Graham County Schools","Robbinsville Elementary","Met",56.00,67.60,0,61,"C"
"Graham County Schools","Robbinsville High","Met",50.40,55.20,0,67,"C"
"Graham County Schools","Robbinsville Middle","Exceeded",48.30,63.70,0,56,"C"
"Granville County Schools","Butner-Stem Elementary","Met",47.10,68.80,0,55,"C"
"Granville County Schools","Butner-Stem Middle","NotMet",34.90,63.60,0,40,"D"
"Granville County Schools","C. G. Credle Elementary","Met",31.70,78.10,0,40,"D"
"Johnston County Schools","Selma Middle School","Met",33.30,89.10,0,42,"D"
"Granville County Schools","Creedmoor Elementary","NotMet",32.80,68.70,0,38,"F"
"Granville County Schools","G. C. Hawley Middle","NotMet",49.40,40.70,0,51,"D"
"Granville County Schools","Granville Early College High","Exceeded",74.40,43.80,0,82,"B"
"Onslow County Schools","Bell Fork Elementary","Met",59.60,64.40,0,65,"C"
"Granville County Schools","Granville Magnet School","Met",16.30,58.90,0,30,"F"
"Granville County Schools","J. F. Webb High","NotMet",29.60,59.30,0,49,"D"
"Granville County Schools","JF Webb HS Of Health And Life Sciences","Met",67.60,22.40,0,76,"B"
"Granville County Schools","Mary Potter Middle","Met",47.90,61.90,0,55,"C"
"Iredell-Statesville Schools","Statesville High","NotMet",38.30,58.60,0,56,"C"
"Granville County Schools","Mount Energy Elementary","Met",63.00,50.50,0,67,"C"
"Wake County Schools","Sycamore Creek Elementary","Met",86.10,,0,85,"A"
"Rowan-Salisbury Schools","China Grove Elementary","Met",47.70,65.50,0,55,"C"
"Granville County Schools","S Granville HS Of Health Life Sciences","Met",45.20,28.60,0,66,"C"
"Pitt County Schools","Pitt Memorial Hospital","N/A",9.10,75.10,0,9,"F"
"Granville County Schools","S Granville HS of Integ Tech & Lead","Met",42.10,32.00,0,61,"C"
"Granville County Schools","West Oxford Elementary","NotMet",29.60,74.50,0,37,"F"
"Madison County Schools","Brush Creek Elementary","NotMet",48.50,63.60,0,51,"D"
"Granville County Schools","Wilton Elementary","Met",61.10,44.50,0,66,"C"
"Iredell-Statesville Schools","Cloverleaf Elementary","Exceeded",43.00,66.50,0,52,"D"
"Greene County Schools","Greene Central High","Met",29.00,66.60,0,55,"C"
"Greene County Schools","Greene County Intermediate","Exceeded",36.30,75.60,0,47,"D"
"Greene County Schools","Greene County Middle","Met",38.20,70.80,0,47,"D"
"Greene County Schools","Greene Early College High","Exceeded",81.70,72.50,0,84,"B"
"Guilford County Schools","Ben L. Smith High School","Met",29.40,87.70,0,54,"D"
"Guilford County Schools","Alamance Elementary","NotMet",54.80,48.60,0,57,"C"
"Guilford County Schools","Allen Jay Middle Preparatory Academy","NotMet",44.30,67.00,0,47,"D"
"Guilford County Schools","Aycock Middle","Met",39.70,74.80,0,46,"D"
"Guilford County Schools","Bluford Elementary","Met",33.80,89.80,0,43,"D"
"Guilford County Schools","Brooks Global Elementary","Met",77.80,37.50,0,78,"B"
"Guilford County Schools","Brown Summit Middle","NotMet",,15.70,0,90,"A"
"Guilford County Schools","Ceasar Cone Elementary","Met",20.60,,0,31,"F"
"Guilford County Schools","The Academy at Smith","Exceeded",70.10,72.50,0,81,"B"
"Guilford County Schools","Clara J Peck Elementary","Exceeded",45.40,94.50,0,54,"D"
"Guilford County Schools","Claxton Elementary","Met",66.60,32.40,0,70,"B"
"Guilford County Schools","Colfax Elementary","NotMet",63.80,36.40,0,64,"C"
"Guilford County Schools","Cyrus P Frazier Elementary","Met",24.50,86.50,0,34,"F"
"Wilson County Schools","Elm City Elementary","Met",45.60,78.50,0,51,"D"
"Guilford County Schools","David D Jones Elementary","NotMet",55.90,60.00,0,56,"C"
"Wilson County Schools","Margaret Hearne Elementary","NotMet",28.70,,0,35,"F"
"Wake County Schools","Wake Young Women's Leadership Academy","Exceeded",74.50,37.00,0,78,"B"
"Guilford County Schools","Doris Henderson Newcomers Sch","N/A",18.60,82.40,0,18,"F"
"Guilford County Schools","Early College at Guilford","NotMet",,10.90,0,93,"A"
"Guilford County Schools","Eastern Guilford High","Exceeded",48.50,63.80,0,66,"C"
"Onslow County Schools","Dixon Elementary","Met",65.00,37.20,0,66,"C"
"Guilford County Schools","Eastern Guilford Middle","Met",40.30,73.30,0,49,"D"
"Guilford County Schools","Edwin A Alderman Elementary","Met",43.80,81.50,0,50,"D"
"Guilford County Schools","Fairview Elementary","Met",23.00,,0,33,"F"
"Yadkin County Schools","Forbush Middle","NotMet",60.10,50.20,0,58,"C"
"Guilford County Schools","Florence Elementary","Exceeded",68.50,38.00,0,72,"B"
"Guilford County Schools","GC Middle College High","N/A",0.00,31.30,0,89,"A"
"Guilford County Schools","General Greene Elementary","Met",66.30,34.70,0,68,"C"
"Guilford County Schools","GTCC Middle College High","Met",63.60,45.80,0,78,"B"
"Guilford County Schools","Guilford Elementary","Met",46.10,79.40,0,51,"D"
"Guilford County Schools","High Point Central High","Exceeded",46.80,63.60,0,67,"C"
"Guilford County Schools","Hunter Elementary","Met",46.40,,0,54,"D"
"Mitchell County Schools","Gouge Elementary","Exceeded",43.20,63.20,0,52,"D"
"Guilford County Schools","Irving Park Elementary","Met",47.60,70.10,0,55,"C"
"Guilford County Schools","Jackson Middle","NotMet",30.10,,0,36,"F"
"Guilford County Schools","James Y Joyner Elementary","Met",47.30,74.30,0,55,"C"
"Guilford County Schools","Jamestown Elementary","Met",47.20,75.80,0,53,"D"
"Guilford County Schools","Jamestown Middle","Exceeded",59.80,56.60,0,66,"C"
"Guilford County Schools","Jefferson Elementary","Exceeded",61.40,69.10,0,68,"C"
"Union County Public Schools","Rock Rest Elementary","Exceeded",69.10,90.50,0,73,"B"
"Guilford County Schools","Julius I Foust Elementary","Exceeded",32.80,,0,45,"D"
"Robeson County Schools","Janie C Hargrave Elem","Met",25.80,75.70,0,37,"F"
"Guilford County Schools","Kernodle Middle","Exceeded",76.70,25.30,0,81,"B"
"Rowan-Salisbury Schools","Shive Elementary","Met",50.70,57.40,0,56,"C"
"Guilford County Schools","Kirkman Park Elementary","Met",34.50,93.50,0,43,"D"
"Guilford County Schools","Kiser Middle","Met",53.90,56.80,0,58,"C"
"Guilford County Schools","Lincoln Academy","NotMet",70.40,45.20,0,70,"B"
"Guilford County Schools","Lucy Ragsdale High","NotMet",59.40,46.80,0,69,"C"
"Guilford County Schools","Mendenhall Middle","Exceeded",55.50,51.50,0,61,"C"
"Guilford County Schools","Middle College GTCC High Point","Met",57.30,51.20,0,77,"B"
"Guilford County Schools","Middle College High @ NC A&T","Met",45.00,67.30,0,62,"C"
"Guilford County Schools","Middle College High at Bennett","Met",57.30,73.90,0,71,"B"
"Guilford County Schools","Monticello-Brown Summit Elem","NotMet",58.30,59.70,0,58,"C"
"Guilford County Schools","Montlieu Academy of Technology","Met",44.50,90.90,0,51,"D"
"Guilford County Schools","Morehead Elementary","Met",72.80,58.10,0,74,"B"
"Montgomery County Schools","Candor Elementary","NotMet",49.90,92.20,0,53,"D"
"Iredell-Statesville Schools","Sharon Elementary","Met",66.90,51.50,0,70,"B"
"Guilford County Schools","Murphey Traditional Academy","Met",40.20,87.90,0,48,"D"
"Guilford County Schools","Northeast Guilford Middle","Met",38.20,73.50,0,45,"D"
"Scotland County Schools","Wagram Elementary","Met",48.20,84.30,0,54,"D"
"Guilford County Schools","Northern Guilford Elementary","Met",80.20,16.50,0,78,"B"
"Guilford County Schools","Northern Guilford High","Exceeded",75.10,17.90,0,84,"B"
"Guilford County Schools","Northwest Guilford Middle","Met",79.80,14.70,0,81,"B"
"Robeson County Schools","Union Elementary","Met",44.30,76.20,0,51,"D"
"Guilford County Schools","Northwood Elementary","Met",44.10,85.50,0,50,"D"
"Guilford County Schools","Oak View Elementary","NotMet",48.20,86.00,0,52,"D"
"Guilford County Schools","Otis L Hairston Sr Middle","Met",25.20,94.00,0,34,"F"
"Wake County Schools","Highcroft Elementary","Exceeded",91.40,,0,91,"A"
"Guilford County Schools","Page High","Exceeded",58.60,46.40,0,75,"B"
"Guilford County Schools","Penn-Griffin Schools","Met",54.80,57.70,0,63,"C"
"Guilford County Schools","Philip J Weaver Ed Center","Met",89.90,17.30,0,91,"A"
"Guilford County Schools","Rankin Elementary","Met",31.50,,0,42,"D"
"Guilford County Schools","Reedy Fork Elementary","Met",41.20,74.00,0,49,"D"
"Guilford County Schools","Ronald E. McNair Elementary","Met",36.70,81.40,0,45,"D"
"Guilford County Schools","Sedalia Elementary","NotMet",56.20,61.10,0,58,"C"
"Guilford County Schools","Sedgefield Elementary","Exceeded",41.00,,0,50,"D"
"Guilford County Schools","Shadybrook Elementary","NotMet",54.50,47.00,0,56,"C"
"Guilford County Schools","Southeast Guilford Middle","NotMet",52.60,43.70,0,55,"C"
"Guilford County Schools","Southern Elementary","Met",66.80,69.90,0,70,"B"
"Guilford County Schools","Southwest Elementary","Met",77.80,21.30,0,79,"B"
"Guilford County Schools","Southwest Guilford High","Exceeded",61.70,40.60,0,77,"B"
"Wake County Schools","Fuquay-Varina Middle","Met",58.40,45.60,0,63,"C"
"Guilford County Schools","STEM Early College @ NC A&T SU","Exceeded",,27.50,0,96,"A"
"Guilford County Schools","Sternberger Elementary","Met",76.00,17.30,0,76,"B"
"Guilford County Schools","Stokesdale Elementary","NotMet",71.50,22.30,0,70,"B"
"Wake County Schools","West Lake Elementary","Exceeded",72.30,18.00,0,76,"B"
"Nash-Rocky Mount Schools","NRM Early College High School","NotMet",63.70,45.10,0,73,"B"
"Guilford County Schools","Summerfield Elementary","Exceeded",77.60,22.50,0,79,"B"
"Guilford County Schools","Sumner Elementary","Exceeded",43.90,88.10,0,53,"D"
"Guilford County Schools","T Wingate Andrews High","Exceeded",42.30,82.40,0,65,"C"
"Guilford County Schools","Union Hill Elementary","NotMet",29.30,88.20,0,37,"F"
"Guilford County Schools","Waldo C Falkener Sr Elementary","NotMet",32.20,,0,39,"F"
"Guilford County Schools","Washington Elementary","Met",35.90,81.10,0,43,"D"
"Guilford County Schools","Western Guilford High","Exceeded",58.90,44.60,0,75,"B"
