"District","School","GrowthStatus","PctPassingEOGTests","PctFreeReduced","HasStringsProgram","SchoolScore","Grade"
"Alamance-Burlington Schools","B Everett Jordan Elem","NotMet",47.30,57.10,0,50,"D"
"Alamance-Burlington Schools","Altamahaw Ossipee Elem","Met",65.00,43.30,0,67,"C"
"Ashe County Schools","Westwood Elementary","Exceeded",66.20,60.50,0,71,"B"
"Alamance-Burlington Schools","Broadview Middle","NotMet",30.80,90.50,0,36,"F"
"Catawba County Schools","Blackburn Elementary","Met",64.00,51.30,0,68,"C"
"Charlotte-Mecklenburg Schools","Sedgefield Elementary","Exceeded",53.30,,0,60,"C"
"Alamance-Burlington Schools","Edwin M Holt Elementary","NotMet",63.20,36.10,0,64,"C"
"Burke County Schools","George Hildebrand Elementary","Met",65.80,67.90,0,68,"C"
"Alexander County Schools","Taylorsville Elementary","NotMet",56.80,78.20,0,58,"C"
"Pasquotank County Schools","Weeksville Elementary","Met",65.80,45.90,0,69,"C"
"Forsyth County Schools","Clemmons Elementary","Exceeded",83.10,18.60,0,84,"B"
"Alamance-Burlington Schools","Elon Elementary","Met",61.60,36.30,0,66,"C"
"Lincoln County Schools","Lincolnton High","NotMet",49.30,64.90,0,66,"C"
"Charlotte-Mecklenburg Schools","Nathaniel Alexander Elementary","Met",41.20,78.90,0,48,"D"
"Lee County Schools","Lee Early College","NotMet",67.70,50.90,0,75,"B"
"Charter Schools","CIS Academy","Exceeded",35.30,73.10,0,46,"D"
"Burke County Schools","Burke Middle College","N/A",0.00,42.90,0,99,"A"
"Asheboro City Schools","Balfour Elementary","Met",42.30,92.90,0,49,"D"
"Ashe County Schools","Ashe County High","NotMet",62.30,55.30,0,69,"C"
"Charlotte-Mecklenburg Schools","Albemarle Road Middle","Met",40.80,87.10,0,47,"D"
"Charlotte-Mecklenburg Schools","Jay M Robinson Middle","Exceeded",89.10,12.30,0,91,"A"
"Lee County Schools","Tramway Elementary","Met",68.90,43.50,0,72,"B"
"Johnston County Schools","Selma Elementary","Met",33.30,92.80,0,41,"D"
"Alamance-Burlington Schools","Garrett Elementary","Met",57.10,56.00,0,62,"C"
"Buncombe County Schools","Black Mountain Elementary","NotMet",68.90,48.30,0,68,"C"
"Cabarrus County Schools","Coltrane-Webb Elementary","Met",60.80,52.60,0,64,"C"
"Alamance-Burlington Schools","Graham High","NotMet",34.20,70.30,0,51,"D"
"Chapel Hill-Carrboro Schools","Ephesus Elementary","Met",75.00,26.00,0,77,"B"
"Alleghany County Schools","Sparta Elementary","NotMet",52.50,71.40,0,54,"D"
"Alamance-Burlington Schools","R Homer Andrews Elementary","Met",40.10,91.80,0,48,"D"
"Alamance-Burlington Schools","Graham Middle","Met",32.50,80.70,0,42,"D"
"Caldwell County Schools","Lower Creek Elementary","Met",63.40,43.10,0,67,"C"
"Charlotte-Mecklenburg Schools","Highland Renaissance Academy","Exceeded",52.80,92.20,0,60,"C"
"Alexander County Schools","Stony Point Elementary","NotMet",55.60,59.70,0,56,"C"
"Guilford County Schools","Northwest Guilford High","Exceeded",77.90,14.20,0,86,"A"
"Alamance-Burlington Schools","Grove Park Elementary","Met",38.80,79.50,0,48,"D"
"Charlotte-Mecklenburg Schools","Francis Bradley Middle","Exceeded",68.30,33.40,0,73,"B"
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Met",26.60,91.10,0,38,"F"
"Alamance-Burlington Schools","Hawfields Middle","Met",53.40,51.80,0,58,"C"
"Alamance-Burlington Schools","Highland Elementary","Exceeded",71.10,33.80,0,74,"B"
"Cumberland County Schools","Seventy-First Classical Middle","Exceeded",71.00,40.70,0,74,"B"
"Alamance-Burlington Schools","Hillcrest Elementary","Met",44.20,80.70,0,50,"D"
"Alamance-Burlington Schools","Marvin B Smith Elementary","NotMet",71.00,44.80,0,68,"C"
"Thomasville City Schools","Liberty Drive Elementary","Exceeded",45.30,90.80,0,55,"C"
"Burke County Schools","Liberty Middle","Exceeded",62.40,49.30,0,68,"C"
"Burke County Schools","Chesterfield Elementary","Met",57.40,87.40,0,63,"C"
"Wake County Schools","Smith Elementary","Met",48.30,70.80,0,55,"C"
"Alamance-Burlington Schools","North Graham Elementary","NotMet",35.70,86.40,0,40,"D"
"Charlotte-Mecklenburg Schools","Winding Springs Elementary","NotMet",37.00,85.10,0,42,"D"
"Cabarrus County Schools","Carl A Furr Elementary","Met",62.70,49.10,0,65,"C"
"Nash-Rocky Mount Schools","O R Pope Elementary","Met",17.90,,0,29,"F"
"Anson County Schools","Wadesboro Primary","NotMet",29.50,86.50,0,35,"F"
"Iredell-Statesville Schools","Troutman Elementary","Met",54.60,51.70,0,60,"C"
"Charlotte-Mecklenburg Schools","Huntersville Elementary","Met",86.10,26.80,0,86,"A"
"Dare County Schools","First Flight Middle School","Met",70.40,33.20,0,71,"B"
"Alamance-Burlington Schools","Southern Middle","NotMet",53.40,40.00,0,56,"C"
"Alamance-Burlington Schools","South Graham Elementary","Met",38.80,82.10,0,47,"D"
"Wayne County Public Schools","Northeast Elementary","NotMet",57.20,57.10,0,57,"C"
"Franklin County Schools","Louisburg High","Met",49.30,61.00,0,68,"C"
"Charlotte-Mecklenburg Schools","Kennedy Middle","Met",42.20,66.20,0,50,"D"
"Alamance-Burlington Schools","Sylvan Elementary","NotMet",60.00,62.10,0,59,"C"
"Alamance-Burlington Schools","South Mebane Elementary","Met",71.70,42.60,0,73,"B"
"Scotland County Schools","Pate-Gardner Elementary","NotMet",50.20,,0,54,"D"
"Charlotte-Mecklenburg Schools","Endhaven Elementary","Exceeded",73.80,28.10,0,77,"B"
"Anson County Schools","Peachland-Polkton Elem","Exceeded",53.30,64.50,0,60,"C"
"Alamance-Burlington Schools","Southern High","Met",51.90,35.90,0,66,"C"
"Alamance-Burlington Schools","Turrentine Middle","NotMet",45.70,65.80,0,47,"D"
"Wake County Schools","Lincoln Heights Elementary","Met",41.90,64.40,0,50,"D"
"Hickory City Schools","Hickory High","NotMet",53.40,49.80,0,63,"C"
"Charlotte-Mecklenburg Schools","Hickory Grove Elementary","Met",46.10,89.60,0,53,"D"
"Randolph County Schools","Wheatmore High","Met",56.30,34.00,0,71,"B"
"Cabarrus County Schools","Cox Mill Elementary","Met",81.30,8.10,0,81,"B"
"Avery County Schools","Avery County High","NotMet",38.40,53.90,0,66,"C"
"Currituck County Schools","Currituck County Middle","Met",61.50,45.40,0,64,"C"
"Alamance-Burlington Schools","Walter M Williams High","Met",49.30,52.10,0,66,"C"
"Alamance-Burlington Schools","Western Alamance High","NotMet",56.20,26.10,0,69,"C"
"Chapel Hill-Carrboro Schools","FPG Elementary","NotMet",52.90,46.80,0,55,"C"
"Caswell County Schools","Oakwood Elementary","Met",44.90,79.80,0,53,"D"
"Charlotte-Mecklenburg Schools","Eastway Middle","NotMet",32.90,92.80,0,39,"F"
"Alamance-Burlington Schools","Western Middle","Met",57.10,33.10,0,61,"C"
"Alamance-Burlington Schools","Woodlawn Middle","Met",60.10,44.10,0,65,"C"
"Charlotte-Mecklenburg Schools","Crown Point Elementary","Met",63.10,59.00,0,67,"C"
"Charlotte-Mecklenburg Schools","Cotswold Elementary","NotMet",67.00,38.60,0,66,"C"
"Nash-Rocky Mount Schools","Middlesex Elementary","NotMet",33.20,81.10,0,38,"F"
"Halifax County Schools","Enfield Middle","Met",13.00,91.30,0,25,"F"
"Cumberland County Schools","Sherwood Park Elementary","Met",43.90,79.70,0,52,"D"
"Charlotte-Mecklenburg Schools","Blythe Elementary","Exceeded",64.30,48.40,0,69,"C"
"Wayne County Public Schools","Northwest Elementary","NotMet",55.10,43.80,0,58,"C"
"Gaston County Schools","York Chester Middle","NotMet",25.90,88.90,0,33,"F"
"Anson County Schools","Anson Co. Early College High","Met",47.20,51.10,0,65,"C"
"Craven County Schools","Creekside Elementary","Exceeded",70.20,27.40,0,74,"B"
"Chapel Hill-Carrboro Schools","Seawell Elementary","Exceeded",83.20,24.10,0,85,"A"
"Alexander County Schools","Alexander Central High","Exceeded",57.50,45.40,0,73,"B"
"Pender County Schools","Rocky Point Elementary","NotMet",33.80,80.60,0,40,"D"
"Charlotte-Mecklenburg Schools","Southwest Middle School","Exceeded",53.00,57.60,0,61,"C"
"Alexander County Schools","Bethlehem Elementary","NotMet",67.00,38.80,0,66,"C"
"Chatham County Schools","Bennett School","Exceeded",61.50,43.00,0,67,"C"
"Alexander County Schools","East Alexander Middle","NotMet",50.50,63.90,0,54,"D"
"Catawba County Schools","Clyde Campbell Elementary","Exceeded",69.40,39.50,0,75,"B"
"Alexander County Schools","Ellendale Elementary","NotMet",63.60,51.90,0,63,"C"
"Asheboro City Schools","Asheboro High","Exceeded",45.30,63.30,0,68,"C"
"Charlotte-Mecklenburg Schools","Garinger High","Exceeded",32.80,86.20,0,59,"C"
"Charlotte-Mecklenburg Schools","J M Alexander Middle","Exceeded",59.60,43.30,0,67,"C"
"Anson County Schools","Anson Middle","NotMet",35.70,78.60,0,40,"D"
"Alexander County Schools","Hiddenite Elementary","Met",62.10,69.00,0,66,"C"
"Alexander County Schools","Sugar Loaf Elementary","Met",64.50,52.20,0,68,"C"
